userId,customerName,email,userAddress,creditCardNo,discount,orderId,orderTime,shippingDate,orderName,category,orderPrice,storeId,storeAddress,zipcode,deliveredOnTime,transactionStatus,review,username
762,"Amanda Suly",mufgr@podmc.com,"2567 Gerkin, Boody, Illinois, 62544",4869230178,1,10,2020-12-03,2020-12-17,Burme,pchb,51.25,homedelivery,homedelivery,62544,Yes,Disputed,3,de
560,"George Washington",mjuwq@nbfgr.com,"Mount Vernon, Fairfax, Virginia, 98274",2568743615,7,30,2020-12-03,2020-12-17,"Tea - Jasmin Green",food,422.12,homedelivery,homedelivery,98274,Yes,Disputed,2,ef
281,"Walter White",shurt@laor.com,"308 NA Lane, Albuquerque, New Mexico, 87104",6541238709,7,32,2020-12-03,2020-12-17,Foxly,pchb,78.51,homedelivery,homedelivery,87104,No,Approved,2,er
597,"Gracy Staler",orufnf@jfuek.com,"987 Feron, Detroit, Michigan, 48219",7458329567,5,36,2020-12-03,2020-12-17,Puracy,household,14,homedelivery,homedelivery,48219,No,Disputed,3,et
204,"Samantha Norman",kfhrto@fhreye.com,"832 Queens, Ann arbor, Michigan, 48105",5698123478,3,35,2020-12-03,2020-12-17,Tweezerman,bcb,6.8,homedelivery,homedelivery,48105,No,Approved,4,we
204,"Samantha Norman",kfhrto@fhreye.com,"832 Queens, Ann arbor, Michigan, 48105",5698123478,3,35,2020-12-03,2020-12-17,Tweezerman,bcb,6.8,homedelivery,homedelivery,48105,No,Approved,4,we
650,"Kurt Angle",ugdye@lfdjrt.com,"89 Dontur, Columbia, S Carolina, 29206",3651873649,3,24,2020-12-03,2020-12-17,"Pike - Frozen Fillet",food,311.17,homedelivery,homedelivery,29206,Yes,Approved,2,df
650,"Kurt Angle",ugdye@lfdjrt.com,"89 Dontur, Columbia, S Carolina, 29206",3651873649,3,24,2020-12-03,2020-12-17,Heritage,bcb,8.79,homedelivery,homedelivery,29206,Yes,Approved,2,df
924,"Jesse Pinkman",jurbx@koenv.com,"934 Randolf, Albuquerque, New Mexico, 87104",4876352891,15,23,2020-12-03,2020-12-17,Pledge,household,14.61,homedelivery,homedelivery,87104,No,Approved,1,as
924,"Jesse Pinkman",jurbx@koenv.com,"934 Randolf, Albuquerque, New Mexico, 87104",4876352891,8,23,2020-12-03,2020-12-17,Doper,pchb,31.14,homedelivery,homedelivery,87104,No,Approved,1,as
944,"Colton Dorn",micry@hfur.com,"456 germey, Greenville, S Carolina, 29606",5473651289,5,21,2020-12-03,2020-12-17,Puracy,household,14,homedelivery,homedelivery,29606,No,Approved,1,xf
944,"Colton Dorn",micry@hfur.com,"456 germey, Greenville, S Carolina, 29606",5473651289,1,21,2020-12-03,2020-12-17,Redbull,beverages,61.25,homedelivery,homedelivery,29606,No,Approved,1,xf
675,"Michael Fisher",mufhr@gher.com,"876 Bern, Boston, Massachussets, 02122",6512873098,5,9,2020-12-03,2020-12-17,Milk,beverages,199.73,homedelivery,homedelivery,02122,Yes,Disputed,1,cy
30,"Brandon Mayhew",mcget@kghgl.com,"414 Robles, Albuquerque, New Mexico, 87119",4586323498,7,29,2020-12-03,2020-12-17,Badger,bcb,13.24,homedelivery,homedelivery,87119,Yes,Disputed,2,cx
342,"Pink Rose",jfyr@gkrei.com,"104 Droke, Redmond, Washington, 98052",4569821357,1,17,2020-12-03,2020-12-17,Starbucks,beverages,25.92,homedelivery,homedelivery,98052,Yes,Disputed,2,xr
557,"Drape Husler",jfyrg@fjfgif.com,"87 Servo, Boise, Idaho, 83735",12563879274,1,4,2020-12-03,2020-12-17,Andalou,bcb,7.99,homedelivery,homedelivery,83735,Yes,Disputed,3,br
557,"Drape Husler",jfyrg@fjfgif.com,"87 Servo, Boise, Idaho, 83735",12563879274,0,4,2020-12-03,2020-12-17,Acure,bcb,33.35,homedelivery,homedelivery,83735,Yes,Disputed,3,br
465,"Bam Vibu",ufhfk@lckfj.com,"65 Shore St, Crescent, California, 95532",7453292487,0,6,2020-12-03,2020-12-17,"Extract Vanilla Pure",food,83.22,homedelivery,homedelivery,95532,Yes,Disputed,3,dx
641,"Caesar North",mcuiey@hxsga.com,"79 Fremont, Chicago, Illinois, 60654",5698234189,0,19,2020-12-03,2020-12-17,Bolt24,beverages,46.31,homedelivery,homedelivery,60654,Yes,Disputed,4,fn
109,"Gaincarlo Esposito",logfhr@tapof.com,"5689 Porte, San Francisco, California, 94122",56873216984,3,1,2020-12-03,2020-12-17,Monster,beverages,101,homedelivery,homedelivery,94122,Yes,Approved,4,ge
109,"Gaincarlo Esposito",logfhr@tapof.com,"5689 Porte, San Francisco, California, 94122",56873216984,8,1,2020-12-03,2020-12-17,"Pop - Club Soda Can",food,89.54,homedelivery,homedelivery,94122,Yes,Approved,4,ge
203,"Juan Carlo",akity@hteuw.com,"35 Udern, Auburb, Alabama, 36879",2486746852,6,40,2020-12-03,2020-12-17,"Beer - Creemore",food,94.34,homedelivery,homedelivery,36879,No,Disputed,2,hw
203,"Juan Carlo",akity@hteuw.com,"35 Udern, Auburb, Alabama, 36879",2486746852,0,40,2020-12-03,2020-12-17,Beets,food,331.33,homedelivery,homedelivery,36879,No,Disputed,2,hw
447,"Don Pablo",hfyurh@lcoerj.com,"47 Huchinson, Boise, Idaho, 83725",5473629813,7,13,2020-12-03,2020-12-17,Izze,beverages,197.25,homedelivery,homedelivery,83725,No,Disputed,4,nt
447,"Don Pablo",hfyurh@lcoerj.com,"47 Huchinson, Boise, Idaho, 83725",5473629813,8,13,2020-12-03,2020-12-17,"Lettuce - Radicchio",food,60.03,homedelivery,homedelivery,83725,No,Disputed,4,nt
123,"John Smith",yroldh@yakfo.com,"47 Street, New York, New York, 10471",5632874697,7,15,2020-12-03,2020-12-17,Vitacoco,beverages,88.51,homedelivery,homedelivery,10471,Yes,Disputed,1,jq
87,"Randy Wilson",ufhrh@lkfdifk.com,"24 Monterry, Jacksonville, Florida, 32211",2510981307,3,39,2020-12-03,2020-12-17,Evolve,bcb,7.22,homedelivery,homedelivery,32211,No,Disputed,2,sk
87,"Randy Wilson",ufhrh@lkfdifk.com,"24 Monterry, Jacksonville, Florida, 32211",2510981307,5,39,2020-12-03,2020-12-17,Mineral,bcb,6.49,homedelivery,homedelivery,32211,No,Disputed,2,sk
592,"Skinny Pette",rwjdif@poadm.com,"87 Bilming, Tallahassee, Florida, 32391",1549630279,3,30,2020-12-03,2020-12-17,Alo,beverages,30.34,homedelivery,homedelivery,32391,Yes,Disputed,4,ka
592,"Skinny Pette",rwjdif@poadm.com,"87 Bilming, Tallahassee, Florida, 32391",1549630279,1,30,2020-12-03,2020-12-17,"Lamb - Rack",food,103.54,homedelivery,homedelivery,32391,Yes,Disputed,4,ka
971,"Dormig Fred",pocmd@hwye.com,"46 Telse, Tampa, Florida, 33629",4362587104,1,21,2020-12-03,2020-12-17,Bubbly,beverages,90.49,homedelivery,homedelivery,33629,No,Disputed,1,tm
971,"Dormig Fred",pocmd@hwye.com,"46 Telse, Tampa, Florida, 33629",4362587104,4,21,2020-12-03,2020-12-17,Fairlife,beverages,44.14,homedelivery,homedelivery,33629,No,Disputed,1,tm
799,"Lancer Ford",ofhru@gkei.com,"975 Gerk, Denver, Colorado, 80219",6234102434,3,2,2020-12-03,2020-12-17,"Zumu Oil",pchb,98.79,homedelivery,homedelivery,80219,No,Disputed,3,zy
799,"Lancer Ford",ofhru@gkei.com,"975 Gerk, Denver, Colorado, 80219",6234102434,5,2,2020-12-03,2020-12-17,Cardon,pchb,189.73,homedelivery,homedelivery,80219,No,Disputed,3,zy
146,"Lance Armstrong",irtyfh@lkshs.com,"301 Ulter, Cheyenne, Wyoming, 82002",2254301681,7,30,2020-12-03,2020-12-17,Pureleaf,beverages,152.89,homedelivery,homedelivery,82002,No,Approved,1,tn
146,"Lance Armstrong",irtyfh@lkshs.com,"301 Ulter, Cheyenne, Wyoming, 82002",2254301681,2,30,2020-12-03,2020-12-17,"Sauce - Salsa",food,96.2,homedelivery,homedelivery,82002,No,Approved,1,tn
94,"Kristen Stewart",igfmgh@hajd.com,"95 Wendell, Bismarck, N Dakota, 58505",4169032478,8,13,2020-12-03,2020-12-17,"Steampan - Foil",food,115.69,homedelivery,homedelivery,58505,Yes,Disputed,3,vo
367,"Peter Parker",lhhske@hasgej.com,"20 Ingram, New York, New York, 11375",5230162784,5,35,2020-12-03,2020-12-17,Rockstar,beverages,118.08,homedelivery,homedelivery,11375,Yes,Approved,1,lr
367,"Peter Parker",lhhske@hasgej.com,"20 Ingram, New York, New York, 11375",5230162784,5,35,2020-12-03,2020-12-17,Spellagrino,beverages,187.82,homedelivery,homedelivery,11375,Yes,Approved,1,lr
